Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,122.36692310019195,51.337018603378596,5.186901488177057,-0.3009867380742545,0.10159999999999991,0.10699999999999998,0.0962,2000,0.0004555584056207847,0.0004555584056207847,0.0004555584056207847,0_26:0.013859903447157429,0_26:660
1,47.672077141353036,76.78445650030606,5.3955679217152595,-0.29909682615100486,0.03400000000000003,0.0254,0.04259999999999997,2000,0.00041681599960255374,0.00041681599960255374,0.00041681599960255374,1_2:0.017514806562325402; 1_0:0.01102696900102293,1_2:660; 1_0:660
2,162.53251660318847,45.40247661993217,5.215371096770449,-0.2999679131670795,0.02499999999999991,0.027599999999999958,0.0224,2000,0.0008829391254576636,0.0008829391254576636,0.0008829391254576636,2_3:0.014411594104803804,2_3:660
3,157.3611965389379,89.30506196764206,5.11656336395547,-0.302296455534244,0.20930000000000004,0.33840000000000003,0.0802,2000,0.00023792217892656297,0.00023792217892656297,0.00023792217892656297,undefined,undefined
4,88.019999451005,80.26520626073186,5.493193372737852,-0.29687545072041377,0.020399999999999974,0.01539999999999997,0.0254,2000,0.0005066163584146625,0.0005066163584146625,0.0005066163584146625,4_27:0.015588125339001363; 4_5:0.01104790427054006; 4_3:0.01772004188574791,4_27:660; 4_5:660; 4_3:660
5,127.03746908943856,118.25422938750377,5.307132953534569,-0.3004658791080434,0.008299999999999974,0.0084,0.008199999999999985,2000,0.0003546351353219131,0.0003546351353219131,0.0003546351353219131,5_6:0.012527500823904109,5_6:660
6,115.82056260242153,96.03737964715484,5.137436342993327,-0.3026925282785081,0.013900000000000023,0.01739999999999997,0.0104,2000,0.0002861945233648455,0.0002861945233648455,0.0002861945233648455,6_7:0.014567324541435334,6_7:660
7,88.25597845234307,46.26122481293504,5.290000846469936,-0.2996834954243215,0.026000000000000023,0.01859999999999995,0.0334,2000,0.0005815653713494482,0.0005815653713494482,0.0005815653713494482,undefined,undefined
8,86.49805381920693,88.14440018948723,5.220687529573648,-0.29950846111991153,0.13319999999999999,0.1368,0.12960000000000005,2000,0.0004377677794939437,0.0004377677794939437,0.0004377677794939437,8_28:0.015388414667330652; 8_9:0.012559254720590357; 8_7:0.018588277168007095,8_28:660; 8_9:660; 8_7:660
9,126.40914198349783,47.52283347755693,5.060927948212575,-0.3021698527968699,0.23719999999999997,0.2424,0.23199999999999998,2000,0.00038065497505981654,0.00038065497505981654,0.00038065497505981654,9_10:0.01261856341419662,9_10:660
10,106.48665448782394,102.45764856019827,5.095420807574009,-0.30292150745250856,0.060899999999999954,0.05800000000000005,0.0638,2000,0.0003129606364187736,0.0003129606364187736,0.0003129606364187736,10_11:0.009323984676170793,10_11:660
11,159.93771097901524,66.9568886193993,5.032357232051774,-0.3032520331770865,0.025900000000000034,0.03059999999999996,0.0212,2000,0.00029252150418240786,0.00029252150418240786,0.00029252150418240786,undefined,undefined
12,60.77340979572521,71.65244552744167,5.205053167790913,-0.3022065120658514,0.014100000000000001,0.01319999999999999,0.015,2000,0.0013020567977914815,0.0013020567977914815,0.0013020567977914815,12_29:0.038648098135152104; 12_11:0.027674213982261747,12_29:356; 12_11:660
13,48.79366515031465,39.29304218265758,5.298590731023262,-0.2998120841448697,0.012299999999999978,0.0138,0.010800000000000032,2000,0.0007350219886049372,0.0007350219886049372,0.0007350219886049372,13_14:0.016929502215570907; 13_12:0.027030752441693645,13_14:660; 13_12:660
14,75.9205165841077,33.21595631282167,5.461167273180234,-0.29641322017408017,0.09999999999999998,0.1,0.09999999999999998,2000,0.0004969643471726115,0.0004969643471726115,0.0004969643471726115,14_15:0.081884184982564,14_15:660
15,68.62865763466075,24.4484527069439,5.222136471453508,0,0.2716666666666667,0.22333333333333338,0.32,2000,0.0011868584720979604,0.0011868584720979604,0.0011868584720979604,undefined,undefined
16,61.786411662336015,39.19535222984466,5.307723493207586,-0.3000535997999543,0.02410000000000001,0.0164,0.03180000000000005,2000,0.0005586058792531642,0.0005586058792531642,0.0005586058792531642,16_17:0.030259101660775695; 16_15:0.1483045379439513,16_17:660; 16_15:660
17,89.45727962759177,7.441872166928069,5.418768065589916,-0.2965878498802911,0.10166666666666657,0.08999999999999997,0.11333333333333333,2000,0.001134166904169562,0.001134166904169562,0.001134166904169562,17_18:0.07802551985850589,17_18:660
18,123.66897016468117,6.9096170347823085,5.267922001436337,-0.29934580134385674,0.17833333333333334,0.15333333333333332,0.20333333333333334,2000,0.0012578063384215915,0.0012578063384215915,0.0012578063384215915,18_19:0.05016204304548516,18_19:660
19,104.77440828545453,25.719847467537694,5.2307974408094955,-0.29897347969110183,0.02950000000000008,0.026000000000000023,0.033,2000,0.0007667392448720967,0.0007667392448720967,0.0007667392448720967,undefined,undefined
20,41.579023321824145,27.8486377051962,5.13490572956373,-0.30281757839212553,0.06000000000000005,0.053333333333333344,0.06666666666666667,2000,0.0004666344794732761,0.0004666344794732761,0.0004666344794732761,20_19:0.03664623035095371; 20_31:1,20_19:660; 20_31:660
21,101.57688412840864,38.39490987125851,5.231875217274321,-0.30037141194249195,0.010699999999999932,0.009000000000000008,0.0124,2000,0.0007554711142857807,0.0007554711142857807,0.0007554711142857807,21_20:0.019830559761126604; 21_22:0.0265319906498713,21_20:660; 21_22:660
22,46.81590595873246,30.67913995352124,5.047816398672018,-0.30150004861559054,0.08099999999999996,0.08540000000000003,0.0766,2000,0.0008180440171568212,0.0008180440171568212,0.0008180440171568212,22_23:0.025729551586621408,22_23:660
23,103.23563959050333,16.021283922355543,5.140526387036716,-0.30245688407234067,0.0353,0.027599999999999958,0.043,2000,0.0009299558506753881,0.0009299558506753881,0.0009299558506753881,undefined,undefined
24,52.41077452574099,16.51225539901571,5.393772325583605,-0.29867142151749587,0.08000000000000007,0.09333333333333338,0.06666666666666667,2000,0.0006582096130523346,0.0006582096130523346,0.0006582096130523346,24_23:0.02951333246600507; 24_32:1,24_23:660; 24_32:660
25,65.69249492522277,7.4371471819151616,5.357098687236715,-0.2955292668068824,0.05400000000000005,0.0446,0.06340000000000001,2000,0.0014123763924956023,0.0014123763924956023,0.0014123763924956023,25_24:0.04215405998507374,25_24:660
26,81.72765372902735,115.676097189507,5.153881103385196,-0.3012926069143815,0.015600000000000058,0.0164,0.014800000000000035,2000,0.00047160048837489806,0.00047160048837489806,0.00047160048837489806,undefined,undefined
27,142.85799407110886,13.561891606444723,5.286644085310621,-0.29904613745622527,0.01649999999999996,0.0168,0.016199999999999992,2000,0.0006864706552520358,0.0006864706552520358,0.0006864706552520358,undefined,undefined
28,56.28064074957007,72.02311927044504,5.276521024479169,-0.29934554321388585,0.05779999999999996,0.0528,0.06279999999999997,2000,0.0005333057015657639,0.0005333057015657639,0.0005333057015657639,undefined,undefined
29,98.45128596104949,87.69415393859896,5.105827408645444,-0.302223218016758,0.07000000000000006,0.08999999999999997,0.05,2000,0.003047120962821233,0.003047120962821233,0.003047120962821233,29_45:0.3757859876717473,29_45:660
30,118.2420960267026,94.62297774703498,5.140163943823385,-0.30132590170444273,0.01639999999999997,0.0184,0.014399999999999968,2000,0.0007758282361077163,0.0007758282361077163,0.0007758282361077163,30_16:0.013302671956550771,30_16:660
31,103.39364370126825,15.368938405452498,5.191830855905162,0,0.08499999999999996,0.07333333333333333,0.09666666666666668,2000,0.0019122430542574845,0.0019122430542574845,0.0019122430542574845,undefined,undefined
32,78.2957619909643,56.18654892045483,5.082555913588335,-0.30212047662702674,0.05499999999999994,0.06333333333333335,0.04666666666666667,2000,0.0011324001662525933,0.0011324001662525933,0.0011324001662525933,undefined,undefined
33,195.51941283680094,128.26437715422534,5.081490192128285,-0.3031180846409654,0.016699999999999937,0.014599999999999946,0.0188,2000,0.00031393964046561945,0.00031393964046561945,0.00031393964046561945,33_26:0.017205347895482587,33_26:660
34,48.8664866003624,58.737883898458904,5.503793662030751,-0.2920981165638953,0.035700000000000065,0.04159999999999997,0.0298,2000,0.0006547698569796613,0.0006547698569796613,0.0006547698569796613,34_33:0.02483811163360622; 34_35:0.021888459167072577,34_33:1260; 34_35:660
35,93.44535082143776,48.1374393510259,5.311578534136254,-0.3000381129192681,0.015499999999999958,0.01739999999999997,0.0136,2000,0.00033803655121594653,0.00033803655121594653,0.00033803655121594653,35_36:0.014375362800063601,35_36:660
36,52.38282705802413,24.436228475083755,5.103897652853751,-0.30175005632891033,0.18399999999999994,0.1766,0.19140000000000001,2000,0.00037405963508472975,0.00037405963508472975,0.00037405963508472975,36_37:0.06208108862989603,36_37:660
37,94.98483206071663,33.65596706921396,5.139219527449265,-0.3728991428542806,0.11769999999999992,0.091,0.14439999999999997,2000,0.0005201274769243025,0.0005201274769243025,0.0005201274769243025,37_27:0.03071472158240776,37_27:660
38,86.86060372091991,11.992046608283767,5.383115605964621,-0.29479073371649994,0.16090000000000004,0.1122,0.2096,2000,0.0004956137998577187,0.0004956137998577187,0.0004956137998577187,38_37:0.0538541774309626; 38_39:0.03294584214642879,38_37:660; 38_39:660
39,182.06700117791317,86.02204953959006,4.992178806278673,-0.3032647006829683,0.1442,0.1522,0.1362,2000,0.0005229485380932408,0.0005229485380932408,0.0005229485380932408,undefined,undefined
40,61.63535815580894,62.5680789848087,5.2302746952378385,-0.299660258844612,0.029200000000000004,0.0198,0.03859999999999997,2000,0.0003975516881190439,0.0003975516881190439,0.0003975516881190439,40_41:0.0156845522919577; 40_39:0.012944255748122024,40_41:660; 40_39:660
41,70.48483561367071,82.20724298526537,5.345148679835072,-0.29908972120086685,0.03149999999999997,0.03639999999999999,0.0266,2000,0.0005532529762116023,0.0005532529762116023,0.0005532529762116023,41_28:0.01613459631788744,41_28:660
42,46.09282945318007,58.090388248247336,5.462050594742086,-0.29301124000452244,0.06459999999999999,0.03059999999999996,0.0986,2000,0.0008091410307715382,0.0008091410307715382,0.0008091410307715382,42_41:0.017176771690989773; 42_43:0.03213222434129617,42_41:660; 42_43:660
43,26.643844780596883,92.78592054046301,5.2186233790632635,-0.301012086950068,0.04149999999999998,0.04359999999999997,0.0394,2000,0.0004509422388122119,0.0004509422388122119,0.0004509422388122119,43_62:0.018699949050954068; 43_44:0.028238795650740917,43_62:660; 43_44:660
44,43.60926667825367,60.09199315537691,5.344882313527328,-0.29536765900373635,0.40769999999999995,0.3772,0.4382,2000,0.0006037488350054939,0.0006037488350054939,0.0006037488350054939,44_45:0.023498279923337223,44_45:660
45,63.28354287456095,52.59567731936942,5.20566588381172,-0.3011553201564204,0.05499999999999994,0.04666666666666667,0.06333333333333335,2000,0.000886689144000695,0.000886689144000695,0.000886689144000695,45_46:0.014971048699820022,45_46:660
46,76.47425729409083,76.97701204908495,5.363517901209749,-0.29573747540808326,0.23309999999999997,0.0286,0.4376,2000,0.000628208407443975,0.000628208407443975,0.000628208407443975,46_47:0.018615692320300525,46_47:660
47,128.18640921772504,105.63298244365069,5.105884446209993,-0.3026638325416394,0.09666666666666668,0.11333333333333329,0.08,2000,0.0006877103685004464,0.0006877103685004464,0.0006877103685004464,undefined,undefined
48,251.3371032584087,38.999469133661286,5.132239148689144,-0.3825325557820223,0.16999999999999993,0.1233333333333333,0.21666666666666667,2000,0.0009361961866271449,0.0009361961866271449,0.0009361961866271449,48_47:0.0503864789030731,48_47:660
49,114.2754620322392,87.82283365590794,5.246620949046285,-0.30011937857830556,0.06666666666666665,0.03666666666666667,0.09666666666666668,2000,0.0004246014368529652,0.0004246014368529652,0.0004246014368529652,49_30:0.02124771193111752; 49_50:0.015195351724812206; 49_48:0.02736718091598722,49_30:660; 49_50:660; 49_48:660
50,61.85605703285796,61.72811457563735,5.286730310928546,-0.29795888161389295,0.08560000000000001,0.10980000000000001,0.0614,2000,0.0008653638589960514,0.0008653638589960514,0.0008653638589960514,50_51:0.04388348686926799,50_51:364
51,119.97164126018141,79.61513690478863,5.168002372315345,-0.3008398741273562,0.07166666666666666,0.06666666666666667,0.07666666666666666,2000,0.003912709965516796,0.003912709965516796,0.003912709965516796,51_52:1,51_52:660
