Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,vx (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,139.4558452,51.44979389,5.186889564,-0.300986738,0.1202,0.1202,0.1202,2000,0.00051513,0.00051513,0.00051513,0_26:0.01814288006928838,0_26:660
1,43.00545163,46.66115545,5.395565042,-0.299096826,0.0227,0.0098,0.0356,2000,0.000687048,0.000687048,0.000687048,1_2:0.01710339587704998; 1_0:0.01746424718295872,1_2:660; 1_0:660
2,119.2239251,67.51525172,5.215371666,-0.299967913,0.0241,0.0202,0.028,2000,0.000341422,0.000341422,0.000341422,2_3:0.01344070677579351,2_3:660
3,270.4280727,90.39668451,5.116568475,-0.302296456,0.2562,0.3652,0.1472,2000,0.000241768,0.000241768,0.000241768,undefined,undefined
4,80.2623599,56.60687665,5.49319182,-0.296875451,0.0206,0.0104,0.0308,2000,0.000665236,0.000665236,0.000665236,4_27:0.01685721604886481; 4_5:0.014802947848797321; 4_3:0.01750182636387196,4_27:660; 4_5:660; 4_3:660
5,98.86177463,80.4231466,5.307134553,-0.300465879,0.0117,0.011,0.0124,2000,0.000910353,0.000910353,0.000910353,5_6:0.009926580087704084,5_6:660
6,88.13041984,97.41190412,5.137426876,-0.302692528,0.0167,0.0206,0.0128,2000,0.000397366,0.000397366,0.000397366,6_7:0.016044637996575517,6_7:660
7,76.51255505,24.90666163,5.289984921,-0.299683495,0.0282,0.0254,0.031,2000,0.000764526,0.000764526,0.000764526,undefined,undefined
8,117.9063924,54.18667712,5.22054656,-0.299508461,0.1291,0.152,0.1062,2000,0.000499011,0.000499011,0.000499011,8_28:0.019703515084851936; 8_9:0.013816686708407827; 8_7:0.023633824937768888,8_28:660; 8_9:660; 8_7:660
9,133.3894179,48.44669739,5.060930773,-0.302169853,0.2463,0.2592,0.2334,2000,0.000350617,0.000350617,0.000350617,9_10:0.018664271022786116,9_10:660
10,69.72680666,97.85767028,5.095428218,-0.302921507,0.0318,0.0362,0.0274,2000,0.000581169,0.000581169,0.000581169,10_11:0.020126489455456004,10_11:660
11,125.3689821,51.93319817,5.03233601,-0.303252033,0.0222,0.0192,0.0252,2000,0.000462626,0.000462626,0.000462626,undefined,undefined
12,110.226497,88.20844845,5.205056105,-0.302206512,0.017,0.0144,0.0196,2000,0.000567751,0.000567751,0.000567751,12_29:0.04199820174939509; 12_11:0.018232056913833894,12_29:356; 12_11:660
