Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
96,332.2541422,83.32592382,4.747944088,-0.310919191,0.1931,0.0766,0.3096,4000,0.000196092,0.000196092,0.000196092,undefined,undefined
78,246.7062272,88.07012864,4.643538334,-0.312307473,0.1403,0.1796,0.101,4000,0.000216262,0.000216262,0.000216262,undefined,undefined
25,80.24182254,111.4747568,4.945183067,-0.308427516,0.0973,0.0532,0.1414,4000,0.000362779,0.000362779,0.000362779,25_24:0.007500234973125991,25_24:660
119,105.8019739,161.627975,4.802857284,-0.289805657,0.0904,0.0892,0.0916,4000,0.000276082,0.000276082,0.000276082,undefined,undefined
70,294.0957073,163.2219398,4.898875487,-0.308239941,0.07,0.0728,0.0672,4000,0.000157106,0.000157106,0.000157106,undefined,undefined
24,158.8916724,87.26467372,5.100733202,-0.305498398,0.059,0.035,0.083,4000,0.000230567,0.000230567,0.000230567,24_34:0.009674858240629136; 24_23:0.006424678484252544,24_34:860; 24_23:660
67,245.9823163,125.2962454,5.113924054,-0.305888986,0.0586,0.0692,0.048,4000,0.000324973,0.000324973,0.000324973,67_68:0.007755164738398268; 67_66:0.007121922996548569,67_68:660; 67_66:660
37,214.3318558,62.62669915,4.837911364,-0.308869951,0.0547,0.016,0.0934,4000,0.000184299,0.000184299,0.000184299,37_38:0.00545482728749469,37_38:660
114,317.5221889,85.64836591,4.822488928,-0.30937992,0.051,0.0548,0.0472,4000,0.00031401,0.00031401,0.00031401,114_109:0.01390811766287059; 114_115:0.0070286069007666485,114_109:660; 114_115:660
61,185.1837695,169.4983075,4.797435037,-0.290564028,0.05,0.0606,0.0394,4000,0.000262706,0.000262706,0.000262706,undefined,undefined
77,211.6725217,98.7933031,5.041922593,-0.307230787,0.0499,0.026,0.0738,4000,0.000300912,0.000300912,0.000300912,77_78:0.0071792419430047605; 77_76:0.005826416346551122; 77_71:0.00810273268327591,77_78:780; 77_76:660; 77_71:660
