Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,104.3018218,11.05929439,5.087881115,-0.307826345,0.0043,0.0048,0.0038,864,0.0002851,0.0002851,0.0002851,0_14:0.008375434460367703; 0_1:0.013588907349112056,0_14:519.1111111111111; 0_1:853.3333333333333
1,124.3474057,100.2849713,4.980881862,-0.309021028,0.005,0.0062,0.0038,864,0.00021359,0.00021359,0.00021359,1_2:0.011061031656685899; 1_0:0.013588907349112056,1_2:298.66666666666663; 1_0:817.7777777777777
2,104.3172182,85.18646651,4.891803376,-0.310404555,0.0431,0.0464,0.0398,864,0.000270654,0.000270654,0.000270654,2_3:0.01604085608928768; 2_1:0.011061031656685899,2_3:462.2222222222222; 2_1:334.22222222222223
3,116.4168854,31.75902589,4.944201266,-0.277108512,0.0811,0.0854,0.0768,864,0.000459838,0.000459838,0.000459838,3_4:0.03557139337253329; 3_2:0.01604085608928768,3_4:775.1111111111111; 3_2:497.77777777777777
4,32.85029303,43.15087472,4.986713066,-0.321949921,0.3764,0.297,0.4558,864,0.001311615,0.001311615,0.001311615,4_15:0.02157714521538559; 4_3:0.03557139337253329; 4_5:0.029461174986280342,4_15:689.7777777777777; 4_3:810.6666666666666; 4_5:760.8888888888888
5,124.062545,197.6046702,4.882350902,-0.31039039,0.0713,0.075,0.0676,864,0.00060816,0.00060816,0.00060816,5_6:0.006643082613048967; 5_4:0.029461174986280342,5_6:405.3333333333333; 5_4:725.3333333333333
6,108.87347,131.3097893,4.968644278,-0.308061861,0.0394,0.0502,0.0286,864,0.000301899,0.000301899,0.000301899,6_5:0.006643082613048967; 6_7:0.009055888036325094,6_5:369.77777777777777; 6_7:455.1111111111111
7,88.78354691,68.06705179,5.015062453,-0.308241018,0.0154,0.01,0.0208,864,0.000363726,0.000363726,0.000363726,7_8:0.008820882837725835; 7_6:0.009055888036325094,7_8:533.3333333333333; 7_6:419.55555555555554
8,73.56519296,115.4622764,5.111196313,-0.307303696,0.0076,0.0094,0.0058,864,0.000263821,0.000263821,0.000263821,8_16:0.028004345616246012; 8_7:0.008820882837725835,8_16:391.1111111111111; 8_7:568.8888888888889
9,116.031718,14.31717056,4.971912491,-0.309414497,0.3288,0.3304,0.3272,864,0.004310132,0.004310132,0.004310132,9_10:0.06487933050101385,9_10:1009.7777777777777
10,169.7728013,20.71743762,4.876230808,-0.310362759,0.143,0.1692,0.1168,864,0.009080682,0.009080682,0.009080682,10_11:0.06722685096442566; 10_9:0.06487933050101385,10_11:1130.6666666666665; 10_9:974.2222222222222
11,132.5090288,34.68028459,5.132107957,-0.306726467,0.2532,0.233,0.2734,864,0.003212784,0.003212784,0.003212784,11_10:0.06722685096442566; 11_12:0.05604482196585611,11_10:1166.2222222222222; 11_12:796.4444444444443
12,155.9500068,24.88075828,4.830485234,-0.311133073,0.4814,0.537,0.4258,864,0.002756235,0.002756235,0.002756235,12_17:0.029509256485998253; 12_13:0.011585198343622594; 12_11:0.05604482196585611,12_17:846.2222222222222; 12_13:490.66666666666663; 12_11:832
13,41.78008762,12.64320721,4.950381468,-0.308758452,0.0481,0.0162,0.08,864,0.000299621,0.000299621,0.000299621,13_12:0.011585198343622594,13_12:455.1111111111111
14,63.71128296,93.9928954,4.995382554,-0.308855959,0.0112,0.0116,0.0108,864,0.000281038,0.000281038,0.000281038,14_0:0.008375434460367703; 14_18:0.007291546479562483,14_0:483.55555555555554; 14_18:355.55555555555554
15,89.87400604,63.78886081,5.118056761,-0.307376296,0.0099,0.0102,0.0096,864,0.001995312,0.001995312,0.001995312,15_22:0.019820292221715524; 15_4:0.02157714521538559,15_22:753.7777777777777; 15_4:654.2222222222222
16,135.3748605,183.9674018,4.917860754,-0.309100927,0.0037,0.005,0.0024,864,0.000208179,0.000208179,0.000208179,16_8:0.028004345616246012; 16_26:0.008458488145505927,16_8:426.66666666666663; 16_26:348.4444444444444
17,111.3327343,24.28355332,5.003104678,-0.307632527,0.038,0.0474,0.0286,864,0.000340572,0.000340572,0.000340572,17_30:0.011463641489046217; 17_12:0.029509256485998253,17_30:384; 17_12:881.7777777777777
